0.258933249 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.261069099 10.0.0.1:47070 10.0.0.3:5001 32 0x59635fbc 0x5962dda4 28 25 118784 14
0.261358252 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.263529501 10.0.0.1:47070 10.0.0.3:5001 32 0x59635fbc 0x5962e8f4 28 25 118784 14
0.263776931 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.265895212 10.0.0.1:47070 10.0.0.3:5001 32 0x596392a4 0x5962f444 28 25 118784 13
0.266198903 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.268331670 10.0.0.1:47070 10.0.0.3:5001 32 0x59639df4 0x5962ff94 28 25 118784 13
0.268624407 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.271496269 10.0.0.1:47070 10.0.0.3:5001 32 0x5963a39c 0x59630ae4 28 25 118784 13
0.272247623 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.273181131 10.0.0.1:47070 10.0.0.3:5001 32 0x5963a39c 0x59631634 28 25 118784 14
0.273469080 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.276661149 10.0.0.2:53726 10.0.0.3:5001 32 0x967c6d49 0x967be841 27 25 104448 13
0.277086950 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.279033704 10.0.0.2:53726 10.0.0.3:5001 32 0x967c6d49 0x967bf391 27 25 104448 13
0.280187590 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.281416329 10.0.0.2:53726 10.0.0.3:5001 32 0x967c6d49 0x967bfee1 27 25 104448 13
0.282683585 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.283363805 10.0.0.2:53726 10.0.0.3:5001 32 0x967ca031 0x967c0779 27 25 104448 13
0.283800838 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.285788809 10.0.0.2:53726 10.0.0.3:5001 32 0x967cb129 0x967c12c9 28 25 104448 13
0.286279575 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.288197339 10.0.0.2:53726 10.0.0.3:5001 32 0x967cb129 0x967c1e19 28 25 104448 13
0.288704210 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.290686781 10.0.0.2:53726 10.0.0.3:5001 32 0x967cb129 0x967c2969 28 25 104448 14
0.291129600 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.293105215 10.0.0.2:53726 10.0.0.3:5001 32 0x967cb129 0x967c34b9 28 25 104448 14
0.293560128 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.295490318 10.0.0.2:53726 10.0.0.3:5001 32 0x967cde69 0x967c4009 28 25 104448 14
0.296002143 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.297949340 10.0.0.2:53726 10.0.0.3:5001 32 0x967ce9b9 0x967c4b59 28 25 104448 14
0.298405732 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.300845294 10.0.0.2:53726 10.0.0.3:5001 32 0x967cef61 0x967c56a9 28 25 104448 14
0.300889075 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.303026137 10.0.0.2:53726 10.0.0.3:5001 32 0x967cef61 0x967c61f9 28 25 104448 14
0.303252216 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.304231958 10.0.0.1:47070 10.0.0.3:5001 32 0x5963a39c 0x59632184 28 25 118784 14
0.304481119 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
